"Группа показателей","Номер показателя (ID)","Название показателя","Ед.измерения","Название региона","Сегмент","Показывать","2015","2016","2017","2018","2019","2020","2021","2022","2014","Описание"
"Прочее","96056","Особо охраняемые природные территории","шт.","Алтайский край","региональные","количество","97","100","103","103","107","112","115","117","92","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Почвы","96030","Рейтинг: загрязнение почвы","оценка","Алтайский край","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96048","Объекты накопленного вреда окружающей среде","оценка","Алтайский край","","влияние самого опасного объекта","н/д","н/д","н/д","н/д","н/д","н/д","1,9","1,9","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)"
"Вода","96023","Рейтинг: загрязнение воды","оценка","Алтайский край","","","н/д","н/д","н/д","н/д","н/д","н/д","A","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Воздух","96013","Рейтинг: загрязнение воздуха","оценка","Алтайский край","","","н/д","н/д","н/д","н/д","н/д","н/д","E","E","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Прочее","96055","Особо охраняемые природные территории","шт.","Алтайский край","федеральные","количество","4","4","4","4","4","5","5","5","4","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96054","Особо охраняемые природные территории","шт.","Алтайский край","всего","количество","105","108","111","111","115","121","124","126","100","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Финансы","96062","Расходы на охрану окружающей среды","млн рублей","Алтайский край","","","1911,0","2298,0","2163,0","2662,0","2902,0","2718,0","3107,0","н/д","1850,0","Росстат: раздел «Официальная статистика» —> Окружающая среда"
"Отходы","96049","Объекты накопленного вреда окружающей среде","оценка","Алтайский край","","сумма влияния всех объектов","н/д","н/д","н/д","н/д","н/д","н/д","7,0","4,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96022","Городов с регулярными наблюдениями за загрязнением воздуха","шт.","Алтайский край","","","н/д","н/д","н/д","н/д","н/д","н/д","2","2","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»"
"Отходы","96036","Рейтинг: отходы","оценка","Алтайский край","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Вода","96026","Сброс загрязненных сточных вод","млн м3","Алтайский край","","всего","н/д","18","н/д","17,3","н/д","13,2","13,5","13,3","10,7","ЕМИСС: Федеральное агентство водных ресурсов"
"Воздух","96019","Выбросы от стационарных источников","кг","Алтайский край","","на душу населения","н/д","89,7","н/д","81,7","н/д","75,4","77,0","85,9","85,0","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96015","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Алтайский край","средняя за год концентрация одного или нескольких веществ превысила ПДК (Q>1 ПДК)","","н/д","н/д","н/д","н/д","н/д","63,7","н/д","63,3","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96014","Население в городах с высоким и очень высоким уровнем загрязнения воздуха (% городского населения)","%","Алтайский край","","","0,0","48,0","48,0","63,0","63,0","48,0","63,0","64,0","48,0","Росгидромет: ежегодник «Обзор состояния и загрязнения окружающей среды в Российской Федерации»\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96018","Выбросы от стационарных источников","тысяч тонн","Алтайский край","","всего","н/д","213,3","н/д","192","н/д","174,6","176,8","  194,9 ","203,1","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Воздух","96017","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Алтайский край","наибольшая повторяемость превышения ПДК больше 20 (НП>20)","","н/д","н/д","н/д","н/д","н/д","0,0","н/д","0,0","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Вода","96025","Доля водопроводов хозяйственно-питьевого централизованного водоснабжения, не соответствующих санитарным нормам и правилам","%","Алтайский край","","","1,9","2,2","2,3","2,3","2,2","2,2","2,2","2,15","1,9","ЕМИСС: Роспотребнадзор"
"Вода","96024","Население, обеспеченное качественной питьевой водой из систем централизованного водоснабжения (% населения)","%","Алтайский край","","","н/д","н/д","н/д","92,4","92,4","92,6","92,8","83,4","н/д","ЕМИСС: Роспотребнадзор"
"Воздух","96016","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Алтайский край","максимальная концентрация какого-либо вещества превысила 10 ПДК (СИ>10)","","н/д","н/д","н/д","н/д","н/д","48,3","н/д","15,1","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96021","Выбросы от передвижных источников","кг","Алтайский край","","на душу населения","н/д","99,1","н/д","106,9","н/д","128,6","126,4","127,0","99,2","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96020","Выбросы от передвижных источников","тысяч тонн","Алтайский край","","всего","н/д","235,5","н/д","251,3","н/д","297,9","290,2","288,1","237,1","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Отходы","96046","Количество несанкционированных свалок","шт.","Алтайский край","","","н/д","н/д","н/д","н/д","н/д","27","72","49","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/unauthorized-landfill/\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96040","Твердые коммунальные отходы","кг","Алтайский край","захоронено","на душу населения","н/д","н/д","н/д","н/д","н/д","182","210,7","205,9","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Почвы","96034","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Алтайский край","по микробиологическим показателям","","н/д","н/д","н/д","н/д","0,57","0,53","0,3","0,9","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Вода","96028","Водные объекты, отнесенные к категориям «грязная» и «экстремально грязная» вода (% поверхностных водных объектов)","%","Алтайский край","","","н/д","н/д","н/д","н/д","41","18,0","31,5","н/д","н/д","Росгидромет: Ежегодник «Качество поверхностных вод Российской Федерации»\
Расчеты: команда проекта «Если быть точным»"
"Вода","96027","Сброс загрязненных сточных вод","м3","Алтайский край","","на душу населения","н/д","7,6","н/д","7,4","н/д","5,7","5,9","5,9","4,5","ЕМИСС: Федеральное агентство водных ресурсов\
Расчеты: команда проекта «Если быть точным»"
"Почвы","96033","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Алтайский край","по санитарно-химическим показателям","","н/д","н/д","н/д","н/д","0","0","0,1","0,2","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Почвы","96032","Площади зон хронического загрязнения почв токсикантами промышленного происхождения (% от площади региона)","%","Алтайский край","","","н/д","н/д","н/д","н/д","6,2","н/д","н/д","н/д","н/д","Для некоторых регионов, о площадях загрязнения почв в которых нет точных данных, указан уровень загрязнения\
Институт глобального климата и экологии им. академика Ю. А. Израэля: монография «Загрязнение окружающей среды в регионах России в начале XXI века»"
